TENSE,ROOT,FORM,NAME_AND_AUTHOR,AGE,GENDER,AUTHOR,PATH,REALPAST,FREQUENCY
PAST,make,made,abekuczaj,2.88809034907598,male,kuczaj,"scripts,Kuczaj,abe049.cha.txt",made,28626
PAST,make,made,abekuczaj,2.88809034907598,male,kuczaj,"scripts,Kuczaj,abe049.cha.txt",made,28626
PAST,make,made,abekuczaj,2.88809034907598,male,kuczaj,"scripts,Kuczaj,abe049.cha.txt",made,28626
PAST,make,made,abekuczaj,2.88809034907598,male,kuczaj,"scripts,Kuczaj,abe049.cha.txt",made,28626
SUSPECT,drink,drinked,abekuczaj,2.88809034907598,male,kuczaj,"scripts,Kuczaj,abe049.cha.txt",drank,656
PAST,make,made,abekuczaj,2.88809034907598,male,kuczaj,"scripts,Kuczaj,abe049.cha.txt",made,28626
SUSPECT,make,maked,abekuczaj,2.88809034907598,male,kuczaj,"scripts,Kuczaj,abe049.cha.txt",made,28626
PAST,make,made,abekuczaj,2.88809034907598,male,kuczaj,"scripts,Kuczaj,abe049.cha.txt",made,28626
PAST,say,said,abekuczaj,2.88809034907598,male,kuczaj,"scripts,Kuczaj,abe049.cha.txt",said,56531
PAST,make,made,abekuczaj,2.88809034907598,male,kuczaj,"scripts,Kuczaj,abe049.cha.txt",made,28626
SUSPECT,say,sayed,abekuczaj,2.89356605065024,male,kuczaj,"scripts,Kuczaj,abe050.cha.txt",said,56531
PAST,make,made,abekuczaj,2.89356605065024,male,kuczaj,"scripts,Kuczaj,abe050.cha.txt",made,28626
PAST,make,made,abekuczaj,2.89356605065024,male,kuczaj,"scripts,Kuczaj,abe050.cha.txt",made,28626
PAST,make,made,abekuczaj,2.89356605065024,male,kuczaj,"scripts,Kuczaj,abe050.cha.txt",made,28626
PAST,make,made,abekuczaj,2.89356605065024,male,kuczaj,"scripts,Kuczaj,abe050.cha.txt",made,28626
PAST,make,made,abekuczaj,2.89356605065024,male,kuczaj,"scripts,Kuczaj,abe050.cha.txt",made,28626
SUSPECT,fall,falled,abekuczaj,2.89356605065024,male,kuczaj,"scripts,Kuczaj,abe050.cha.txt",fell,3723
PAST,make,made,abekuczaj,2.89356605065024,male,kuczaj,"scripts,Kuczaj,abe050.cha.txt",made,28626
PAST,make,made,abekuczaj,2.89356605065024,male,kuczaj,"scripts,Kuczaj,abe050.cha.txt",made,28626
PAST,make,made,abekuczaj,2.89356605065024,male,kuczaj,"scripts,Kuczaj,abe050.cha.txt",made,28626
SUSPECT,fall,falled,abekuczaj,2.89356605065024,male,kuczaj,"scripts,Kuczaj,abe050.cha.txt",fell,3723
SUSPECT,fall,falled,abekuczaj,2.89356605065024,male,kuczaj,"scripts,Kuczaj,abe050.cha.txt",fell,3723
